elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Quality and control personnel,ጥራት እና ቁጥጥር ሰራተኞች,Service,Quality Management Consulting Service,P,0.7976,industrial quality manager,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,match,2.0,quality services manager,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,1219,high,"Candidate 2 aligns best with the Service sector and Quality Management Consulting sub-sector, specifically focusing on service quality standards.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""Candidate 2 aligns best with the Service sector and Quality Management Consulting sub-sector, specifically focusing on service quality standards.""}"
Quality Assessment Head,የጥራት ግምገማ ኃላፊ,Service,Quality Management Consulting Service,P,0.7845,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,match,1.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,medium,"The ELMIS title describes a senior role in quality oversight, which aligns with the professional-level responsibilities of a quality engineer in defining and enforcing standards.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title describes a senior role in quality oversight, which aligns with the professional-level responsibilities of a quality engineer in defining and enforcing standards.""}"
Quality Assurance & Monitoring officer Infrastructure Projects,የጥራት ማረጋገጫ እና ክትትል ኦፊሰር የመሠረተ ልማት ፕሮጀክቶች,Service,Quality Management Consulting Service,P,0.8192,ICT quality assurance manager,http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,match,5.0,construction quality manager,http://data.europa.eu/esco/occupation/326027fc-5408-47cd-9b32-fbe770dbbe80,3112,medium,Candidate 5 (construction quality manager) best captures both the systematic 'quality assurance' and the 'monitoring' (inspections) aspects for infrastructure/construction projects.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""medium"", ""rationale"": ""Candidate 5 (construction quality manager) best captures both the systematic 'quality assurance' and the 'monitoring' (inspections) aspects for infrastructure/construction projects.""}"
Quality Assurance & Research Service Head,የጥራት ማረጋገጫ እና የምርምር አገልግሎት ኃላፊ,Service,Quality Management Consulting Service,P,0.8356,quality services manager,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,match,1.0,quality services manager,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,1219,high,Candidate 1 matches both the seniority (Head/Manager) and the service-oriented quality management focus described in the ELMIS title and sub-sector.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Candidate 1 matches both the seniority (Head/Manager) and the service-oriented quality management focus described in the ELMIS title and sub-sector.""}"
Quality Assurance Analyst,የጥራት ማረጋገጫ ተንታኝ,Service,Quality Management Consulting Service,P,0.8471,accounting analyst,http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6,match,3.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,high,"Candidate 3 (quality engineer) is the best fit as it encompasses defining and checking compliance for both products and services, which aligns with the professional level and the Quality Management Consulting sub-sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""Candidate 3 (quality engineer) is the best fit as it encompasses defining and checking compliance for both products and services, which aligns with the professional level and the Quality Management Consulting sub-sector.""}"
Quality Assurance and Enhancement Officer,የጥራት ማረጋገጫ እና ማሻሻያ ኦፊሰር,Service,Quality Management Consulting Service,P,0.8391,ICT quality assurance manager,http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,match,2.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,high,"The ELMIS title describes a professional role in quality assurance and enhancement, which aligns perfectly with the 'quality engineer' candidate that handles both standards compliance and improvements.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional role in quality assurance and enhancement, which aligns perfectly with the 'quality engineer' candidate that handles both standards compliance and improvements.""}"
Quality Assurance and Training Coordinator,የጥራት ማረጋገጫ እና ስልጠና አስተባባሪ,Service,Quality Management Consulting Service,P,0.8281,education programme coordinator,http://data.europa.eu/esco/occupation/d23f4d59-2bea-4bd8-bcdb-5e23b1c50552,match,5.0,corporate training manager,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,2424,medium,"Candidate 5 matches the 'Training Coordinator' component and the professional level (P) required for a coordinator in a consulting service, while the 'Quality Assurance' aspect represents the specific domain of the training within that sub-sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""medium"", ""rationale"": ""Candidate 5 matches the 'Training Coordinator' component and the professional level (P) required for a coordinator in a consulting service, while the 'Quality Assurance' aspect represents the specific domain of the training within that sub-sector.""}"
Quality Assurance Division Head,የጥራት ማረጋገጫ ክፍል ኃላፊ,Service,Quality Management Consulting Service,P,0.8032,industrial quality manager,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,match,1.0,industrial quality manager,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,1321,medium,"The ELMIS title 'Division Head' aligns with the managerial seniority of 'industrial quality manager', and the core functions of auditing and process control are consistent across quality assurance leadership roles.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Division Head' aligns with the managerial seniority of 'industrial quality manager', and the core functions of auditing and process control are consistent across quality assurance leadership roles.""}"
Quality Assurance Head,የጥራት ማረጋገጫ ኃላፊ,Service,Quality Management Consulting Service,P,0.8359,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,match,1.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,medium,"The ELMIS title 'Quality Assurance Head' with professional class 'P' aligns best with 'quality engineer', as it describes the high-level professional work of defining standards and coordinating improvements, whereas other candidates are either sector-specific or involve manual inspection.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Quality Assurance Head' with professional class 'P' aligns best with 'quality engineer', as it describes the high-level professional work of defining standards and coordinating improvements, whereas other candidates are either sector-specific or involve manual inspection.""}"
Quality Assurance Supervisor,የጥራት ማረጋገጫ ተቆጣጣሪ,Service,Quality Management Consulting Service,P,0.8403,ICT quality assurance manager,http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,match,5.0,quality services manager,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,1219,high,Candidate 5 matches the ELMIS title's 'Service' sector and profession class by focusing on quality management within business services.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""high"", ""rationale"": ""Candidate 5 matches the ELMIS title's 'Service' sector and profession class by focusing on quality management within business services.""}"
Quality Award Researchers,የጥራት ሽልማት ተመራማሪዎች,Service,Quality Award Service,P,0.7484,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,match,1.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,medium,"Candidate 1 is a professional-level role (ISCO 2xxx) that defines quality standards and monitors compliance for both products and services, which aligns with the duties of a quality award researcher.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""Candidate 1 is a professional-level role (ISCO 2xxx) that defines quality standards and monitors compliance for both products and services, which aligns with the duties of a quality award researcher.""}"
Quality Executive,የጥራት አስፈፃሚ,Service,Quality Management Consulting Service,P,0.8187,chief executive officer,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,match,3.0,quality services manager,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,1219,high,Candidate 3 aligns perfectly with the service sector and the professional oversight of quality standards implied by the title 'Quality Executive' in a consulting context.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""Candidate 3 aligns perfectly with the service sector and the professional oversight of quality standards implied by the title 'Quality Executive' in a consulting context.""}"
Quality Inspection & assurance Specialist (Senior cupper),የጥራት ቁጥጥር እና የማረጋገጫ ባለሙያ,Service,Quality Management Consulting Service,P,0.8003,construction quality inspector,http://data.europa.eu/esco/occupation/f0978ec0-ae7d-4c4a-8f80-3fd200edddac,match,3.0,quality engineer,http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273,2149,medium,"The ELMIS title describes a professional-level quality assurance specialist, which aligns best with the 'quality engineer' role (Candidate 3) that focuses on defining and checking quality standards.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title describes a professional-level quality assurance specialist, which aligns best with the 'quality engineer' role (Candidate 3) that focuses on defining and checking quality standards.""}"
Quality Voice Over,ጥራት ያለው ድምጽ በላይ,Service,Other services,P,0.8473,voice-over artist,http://data.europa.eu/esco/occupation/e89e330c-daa3-48f0-b34e-04e3344ea8dc,match,1.0,voice-over artist,http://data.europa.eu/esco/occupation/e89e330c-daa3-48f0-b34e-04e3344ea8dc,2655,high,"The ELMIS title 'Quality Voice Over' corresponds directly to the voice-over artist role, where 'quality' is likely an adjective or localized phrasing for a professional voice performer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'Quality Voice Over' corresponds directly to the voice-over artist role, where 'quality' is likely an adjective or localized phrasing for a professional voice performer.""}"
Quantity and Cost Engineer,ብዛት እና ወጪ መሐንዲስ,Construction,General Contractor (Except for the from Water works contractor,P,0.8147,calculation engineer,http://data.europa.eu/esco/occupation/fbceeac6-798b-4307-a825-626707a753ad,no_match,,,,,high,"None of the candidates describe the construction-specific role of quantity surveying or cost estimation; they instead focus on mechanical, industrial, and manufacturing engineering.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates describe the construction-specific role of quantity surveying or cost estimation; they instead focus on mechanical, industrial, and manufacturing engineering.""}"
Quantity Engineer II,ብዛት መሐንዲስ II,Construction,General Contractor (Except for the from Water works contractor,P,0.8414,manufacturing engineer,http://data.europa.eu/esco/occupation/6818c837-072a-4120-b913-bd360b7b14d0,no_match,,,,,high,"The provided candidates are all focused on manufacturing and logistics, whereas a Quantity Engineer in the construction sector focuses on cost estimation and materials management.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The provided candidates are all focused on manufacturing and logistics, whereas a Quantity Engineer in the construction sector focuses on cost estimation and materials management.""}"
Quantity Engineer IV,ብዛት መሐንዲስ IV,Construction,General Contractor (Except for the from Water works contractor,P,0.8306,quantity surveyor,http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0,match,1.0,quantity surveyor,http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0,2149,high,"In the construction sector, 'Quantity Engineer' and 'Quantity Surveyor' are equivalent terms for professionals managing construction costs, resources, and bills of quantities.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""In the construction sector, 'Quantity Engineer' and 'Quantity Surveyor' are equivalent terms for professionals managing construction costs, resources, and bills of quantities.""}"
Quran and Tajweed teacher,የቁርዓን እና የተጅዊድ መምህር,Education,other,P,0.7634,religious education teacher at secondary school,http://data.europa.eu/esco/occupation/35e42c87-faf7-465f-abe4-f26717996dd1,match,1.0,religious education teacher at secondary school,http://data.europa.eu/esco/occupation/35e42c87-faf7-465f-abe4-f26717996dd1,2330,high,"A Quran and Tajweed teacher is a religious education teacher, and candidate 1 represents this role within the professional education sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""A Quran and Tajweed teacher is a religious education teacher, and candidate 1 represents this role within the professional education sector.""}"
Quran and Tajweed tutor,የቁርዓን እና የተጅዊድ አስተማሪ,Education,other,P,0.7518,tutor,http://data.europa.eu/esco/occupation/59bce29f-5c8b-47cf-bfd4-6ec003f5323a,match,1.0,tutor,http://data.europa.eu/esco/occupation/59bce29f-5c8b-47cf-bfd4-6ec003f5323a,2359,high,"The ELMIS title explicitly identifies as a tutor, which matches the description of providing personalized instruction in a specific subject as described in the first candidate.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title explicitly identifies as a tutor, which matches the description of providing personalized instruction in a specific subject as described in the first candidate.""}"
Quran teacher,የቁርኣን መምህር,Education,other,P,0.8116,religious education teacher at secondary school,http://data.europa.eu/esco/occupation/35e42c87-faf7-465f-abe4-f26717996dd1,match,1.0,religious education teacher at secondary school,http://data.europa.eu/esco/occupation/35e42c87-faf7-465f-abe4-f26717996dd1,2330,high,"The candidate 'religious education teacher at secondary school' is the most direct functional match for a Quran teacher, who provides specialized religious instruction.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The candidate 'religious education teacher at secondary school' is the most direct functional match for a Quran teacher, who provides specialized religious instruction.""}"
R &D and Quality control Manager,R&D እና የጥራት ቁጥጥር አስተዳዳሪ,Service,Industrial research and experimental development activities,P,0.8193,industrial quality manager,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,match,1.0,industrial quality manager,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,1321,medium,"Candidate 1 represents a managerial role in quality control within an industrial context, which aligns with the technical sub-sector of industrial research and development.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""Candidate 1 represents a managerial role in quality control within an industrial context, which aligns with the technical sub-sector of industrial research and development.""}"
R R Representative,R R ተወካይ,Service,Other services,U,0.794,customer service representative,http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7,no_match,,,,,low,"The acronym 'R R' is ambiguous and does not clearly align with customer service, legislative, or commercial sales roles without more specific context.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""low"", ""rationale"": ""The acronym 'R R' is ambiguous and does not clearly align with customer service, legislative, or commercial sales roles without more specific context.""}"
R&D Expert,የ R&D ባለሙያ,Service,Industrial research and experimental development activities,U,0.7665,data scientist,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,no_match,,,,,high,"The provided candidates are all highly specialized niche roles (data science, marketing, autonomous driving) that do not accurately represent a general Research and Development Expert in the industrial sector.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The provided candidates are all highly specialized niche roles (data science, marketing, autonomous driving) that do not accurately represent a general Research and Development Expert in the industrial sector.""}"
R&D Specialist,የ R&D ስፔሻሊስት,Service,Industrial research and experimental development activities,U,0.8053,specialist biomedical scientist,http://data.europa.eu/esco/occupation/acbb7a20-c947-480d-a07e-868a0ab3eab8,no_match,,,,,high,"The provided candidates are limited to medical, healthcare, and administrative roles, which do not match the general industrial research and development focus of the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The provided candidates are limited to medical, healthcare, and administrative roles, which do not match the general industrial research and development focus of the ELMIS title.""}"
Radiator Maintenance Officer,የራዲያተር ጥገና ኦፊሰር,Service,Motor vehicle repair work,P,0.8039,radiation protection officer,http://data.europa.eu/esco/occupation/bf802371-4758-4268-a780-58e3d269831b,match,2.0,vehicle maintenance supervisor,http://data.europa.eu/esco/occupation/264b00c9-84d0-4dc9-b590-aed2cea2b904,7231,medium,"The candidate matches the correct sub-sector (motor vehicle repair) and reflects the professional/supervisory level implied by the 'Officer' title and 'P' classification, even though it is broader than radiator-specific maintenance.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""The candidate matches the correct sub-sector (motor vehicle repair) and reflects the professional/supervisory level implied by the 'Officer' title and 'P' classification, even though it is broader than radiator-specific maintenance.""}"
Radiator Maintenance Technician,የራዲያተር ጥገና ቴክኒሻን,Service,Motor vehicle repair work,P,0.8459,heating technician,http://data.europa.eu/esco/occupation/7259dc48-004a-4ceb-aa4e-5bbd548c2397,no_match,,,,,high,None of the candidates represent motor vehicle cooling system repair; the closest candidate (heating technician) is categorized under plumbing and building systems.,gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent motor vehicle cooling system repair; the closest candidate (heating technician) is categorized under plumbing and building systems.""}"
Radio Frequency Data Engineer,የሬዲዮ ድግግሞሽ ውሂብ መሐንዲስ,ICT and digital work,Software Design Development and Implementation Works,P,0.8337,radio technician,http://data.europa.eu/esco/occupation/35efc04c-429a-407e-a00a-f07fd03c2743,no_match,,,,,high,The candidates provided are either technicians (incorrect seniority for a professional-level engineer) or belong to unrelated domains like medical imaging or magnetics.,gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidates provided are either technicians (incorrect seniority for a professional-level engineer) or belong to unrelated domains like medical imaging or magnetics.""}"
Radio Program Editor and Reporter,የሬዲዮ ፕሮግራም አዘጋጅ እና ዘጋቢ,Service,Commercial Broadcast Service,P,0.8403,broadcast news editor,http://data.europa.eu/esco/occupation/b65530b8-0b50-49da-8e9e-331b161374a5,match,1.0,broadcast news editor,http://data.europa.eu/esco/occupation/b65530b8-0b50-49da-8e9e-331b161374a5,2642,high,Candidate 1 falls under the Journalism ISCO category and covers the editorial and news oversight functions associated with radio reporting and programming.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Candidate 1 falls under the Journalism ISCO category and covers the editorial and news oversight functions associated with radio reporting and programming.""}"
Radio program organizer and host,የሬዲዮ ፕሮግራም አዘጋጅ እና አዘጋጅ,Service,Commercial Broadcast Service,P,0.7802,radio producer,http://data.europa.eu/esco/occupation/ce7d3362-5383-47d1-b66f-57b021c3d862,match,1.0,radio producer,http://data.europa.eu/esco/occupation/ce7d3362-5383-47d1-b66f-57b021c3d862,2654,high,"The ELMIS title 'organizer' corresponds directly to the radio producer's responsibility for organizing the content and production of shows, and the professional class (P) aligns with the ISCO 2654 group.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'organizer' corresponds directly to the radio producer's responsibility for organizing the content and production of shows, and the professional class (P) aligns with the ISCO 2654 group.""}"
Radio show assistant,የሬዲዮ ትርኢት ረዳት,Service,Commercial Broadcast Service,P,0.8339,radio technician,http://data.europa.eu/esco/occupation/35efc04c-429a-407e-a00a-f07fd03c2743,match,2.0,radio producer,http://data.europa.eu/esco/occupation/ce7d3362-5383-47d1-b66f-57b021c3d862,2654,medium,"The ELMIS professional class 'P' and the 'Commercial Broadcast Service' sub-sector align best with the radio producer role, which covers the professional production activities a radio show assistant supports.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""The ELMIS professional class 'P' and the 'Commercial Broadcast Service' sub-sector align best with the radio producer role, which covers the professional production activities a radio show assistant supports.""}"
Ransomware Expert,Ransomware ባለሙያ,ICT and digital work,Software Design Development and Implementation Works,P,0.7263,ethical hacker,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,match,1.0,ethical hacker,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,2529,medium,"Ethical hacker is the most appropriate professional ICT security role, as it involves identifying the system vulnerabilities that ransomware experts specialize in mitigating or exploiting.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""Ethical hacker is the most appropriate professional ICT security role, as it involves identifying the system vulnerabilities that ransomware experts specialize in mitigating or exploiting.""}"
Raw Material and Product keeper,ጥሬ እቃ እና የምርት ጠባቂ,Manufacturing,Another unmentioned factory works,P,0.8366,raw materials warehouse specialist,http://data.europa.eu/esco/occupation/30870ea4-5e8e-4b92-a9d5-65e3b97a9b30,match,1.0,raw materials warehouse specialist,http://data.europa.eu/esco/occupation/30870ea4-5e8e-4b92-a9d5-65e3b97a9b30,4321,high,The role of a raw materials warehouse specialist aligns directly with the duties of keeping and monitoring raw materials and products within a manufacturing context.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The role of a raw materials warehouse specialist aligns directly with the duties of keeping and monitoring raw materials and products within a manufacturing context.""}"
RBT Operation Manager,የ RBT ኦፕሬሽን ሥራ አስኪያጅ,Service,Other services,P,0.8055,operations manager,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,match,1.0,operations manager,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,1321,high,"The candidate 'operations manager' directly matches the job title and its description specifically includes the provision of services, which aligns with the ELMIS sector and sub-sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The candidate 'operations manager' directly matches the job title and its description specifically includes the provision of services, which aligns with the ELMIS sector and sub-sector.""}"
REACH Assessment Officer,REACH የግምገማ ኦፊሰር,Service,Other health activities,P,0.8489,monitoring and evaluation officer,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,match,1.0,monitoring and evaluation officer,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,2422,high,"An Assessment Officer, particularly in humanitarian or health contexts like REACH, performs functions that directly align with the design and data collection tasks of a monitoring and evaluation officer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""An Assessment Officer, particularly in humanitarian or health contexts like REACH, performs functions that directly align with the design and data collection tasks of a monitoring and evaluation officer.""}"
REACH Database Officer,REACH የውሂብ ጎታ ኦፊሰር,ICT and digital work,Database organization and data processing,P,0.83,database administrator,http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,match,1.0,database administrator,http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,2521,high,The ELMIS title REACH Database Officer aligns perfectly with the responsibilities and professional classification of a Database Administrator.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title REACH Database Officer aligns perfectly with the responsibilities and professional classification of a Database Administrator.""}"
REACH Ethiopia Woreda Community TB Coordinator,ይድረስ የኢትዮጵያ ወረዳ ማህበረሰብ ቲቢ አስተባባሪ,Health,Health,P,0.6713,healthcare assistant,http://data.europa.eu/esco/occupation/d38c2107-98f2-47b7-8bb4-f69750d51082,match,3.0,public health policy officer,http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434,2422,medium,"The ELMIS title describes a professional health program coordination role at the community level, which aligns best with the public health policy officer's scope of implementing community health strategies.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title describes a professional health program coordination role at the community level, which aligns best with the public health policy officer's scope of implementing community health strategies.""}"
REACH GIS Officer,የጂአይኤስ ኦፊሰር ይድረሱ,Service,Geo-Spatial / Earth Information / Service,P,0.7637,chief information officer,http://data.europa.eu/esco/occupation/82f90e87-de92-4678-adae-61d3e5f7e1e4,match,4.0,geographic information systems specialist,http://data.europa.eu/esco/occupation/9af8907f-56a7-4170-83b1-3c6ba0997cfa,2165,high,"The ELMIS title and sub-sector specifically reference Geographic Information Systems (GIS), which directly matches the geographic information systems specialist candidate.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The ELMIS title and sub-sector specifically reference Geographic Information Systems (GIS), which directly matches the geographic information systems specialist candidate.""}"
Read Mix Materials Engineer,የድብልቅ ቁሶች መሐንዲስ አንብብ,Manufacturing,"Manufacture of concrete, cement and resin products",P,0.8323,materials engineer,http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81,match,1.0,materials engineer,http://data.europa.eu/esco/occupation/4a375b68-88a0-4e5f-99ce-9b01341dfb81,2149,high,"The ELMIS title refers to a professional engineer in the concrete manufacturing sector, which aligns with the materials engineer profile at the correct seniority level.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title refers to a professional engineer in the concrete manufacturing sector, which aligns with the materials engineer profile at the correct seniority level.""}"
Read Mix Production Manager,ድብልቅ ፕሮዳክሽን አስተዳዳሪ,Manufacturing,"Manufacture of concrete, cement and resin products",P,0.7913,industrial production manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,match,1.0,industrial production manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,1321,high,The candidate 'industrial production manager' aligns with both the seniority level (Manager) and the manufacturing sector context of ready-mix concrete production.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The candidate 'industrial production manager' aligns with both the seniority level (Manager) and the manufacturing sector context of ready-mix concrete production.""}"
Reading and Numeracy Experts – EGRA/EGMA (2 coordinators),የንባብ እና የቁጥር ባለሙያዎች - EGRA/EGMA (2 አስተባባሪዎች),Education,other,U,0.7098,curriculum administrator,http://data.europa.eu/esco/occupation/d89b23c2-d042-4ca6-a917-109fe5a0b30c,match,2.0,education programme coordinator,http://data.europa.eu/esco/occupation/d23f4d59-2bea-4bd8-bcdb-5e23b1c50552,1345,high,"The ELMIS role involves coordinating specific educational assessment and improvement programs (EGRA/EGMA), which matches the implementation and supervision responsibilities of an education programme coordinator.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS role involves coordinating specific educational assessment and improvement programs (EGRA/EGMA), which matches the implementation and supervision responsibilities of an education programme coordinator.""}"
Reading and recording Tanzanian Swahili,ታንዛኒያ ስዋሂሊ ማንበብ እና መቅዳት,Service,Media programming,U,0.6783,talking with and reading to children,urn:icatus:2016:414,no_match,,,,,high,"None of the candidates describe voice recording or narration for media; the options relate to childcare, meter reading, or academic research.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates describe voice recording or narration for media; the options relate to childcare, meter reading, or academic research.""}"
