"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence"
"Protection, Gender and Inclusion Coordinator","ጥበቃ፣ ፆታ እና ማካተት አስተባባሪ","P","Service","Social work services","minilm","5","0.8024","low_similarity","equality and inclusion manager","http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53","0.8024","low_similarity","employment programme coordinator","http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158","0.7508","low_similarity","victim support officer","http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818","0.7382","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.7334","low_similarity","admissions coordinator","http://data.europa.eu/esco/occupation/6e1b1bd7-9eec-4f10-bce7-94a27d9023e8","0.7312","low_similarity"
"Protection, Mental Health and Psychosocial Support Advisor","ጥበቃ, የአእምሮ ጤና እና የስነ-አእምሮ ማህበራዊ ድጋፍ አማካሪ","P","Service","Social work services","minilm","5","0.8355","low_similarity","mental health support worker","http://data.europa.eu/esco/occupation/5a9acd29-666c-4ca1-b10e-e086584a526b","0.8355","low_similarity","victim support officer","http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818","0.7681","low_similarity","mental health social worker","http://data.europa.eu/esco/occupation/a76a05bb-e04d-4be8-953e-1ffd691dd58d","0.7678","low_similarity","sexual violence counsellor","http://data.europa.eu/esco/occupation/b9dd2ee7-5fea-46f8-b226-ddae9501f728","0.7599","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.7478","low_similarity"
"Protection/MHPSS Program (Safe Haven) Host Mother","ጥበቃ/MHPSS ፕሮግራም (Safe Haven) አስተናጋጅ እናት","P","Service","Social work services","minilm","5","0.6815","low_similarity","security manager","http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9","0.6815","low_similarity","maternity support worker","http://data.europa.eu/esco/occupation/30194ac4-93b8-4450-8a15-f6f7cbe351cb","0.6652","low_similarity","foster care support worker","http://data.europa.eu/esco/occupation/1f5932eb-b36d-44e1-a063-7aa9e228af51","0.6642","low_similarity","data protection officer","http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73","0.6623","low_similarity","fire prevention and protection engineer","http://data.europa.eu/esco/occupation/4be368e3-badb-4b9f-9d0a-4d0f7565540a","0.6464","low_similarity"
"Protection-Safeguarding and GBV Coordinator","ጥበቃ-መጠበቅ እና GBV አስተባባሪ","P","Service","Social work services","minilm","5","0.7548","low_similarity","data protection officer","http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73","0.7548","low_similarity","security manager","http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9","0.7443","low_similarity","fire prevention and protection engineer","http://data.europa.eu/esco/occupation/4be368e3-badb-4b9f-9d0a-4d0f7565540a","0.7285","low_similarity","security guard","http://data.europa.eu/esco/occupation/31808988-fc0a-4bc3-9e47-27216d6759f5","0.7248","low_similarity","security consultant","http://data.europa.eu/esco/occupation/c66b4569-09aa-4d8d-93d9-ac9b9176655d","0.7232","low_similarity"
"PSE Officer","የ PSE ኦፊሰር","P","Service","Other services","minilm","5","0.8086","low_similarity","police officer","http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc","0.8086","low_similarity","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.8057","low_similarity","probation officer","http://data.europa.eu/esco/occupation/6a7212c9-40da-4346-a190-3896bdd9a925","0.7891","low_similarity","police commissioner","http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3","0.7874","low_similarity","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.7858","low_similarity"
"pshcology teacher","pshcology መምህር","P","Education","other","minilm","5","0.7828","low_similarity","secondary school teacher","http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6","0.7828","low_similarity","vocational teacher","http://data.europa.eu/esco/occupation/81f8d141-3f67-4fb0-a349-db0147ef7b3a","0.7769","low_similarity","science teacher secondary school","http://data.europa.eu/esco/occupation/1ad4012e-30e3-492c-b42c-09cff3047574","0.7739","low_similarity","primary school teacher","http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302","0.7676","low_similarity","early years teacher","http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83","0.7671","low_similarity"
"Psychiatry Nurse","ሳይካትሪ ነርስ","P","Health","Health","minilm","5","0.8159","low_similarity","specialist nurse","http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba","0.8159","low_similarity","health psychologist","http://data.europa.eu/esco/occupation/976c7f50-7f9e-4347-bbb9-f0dc842046a3","0.8062","low_similarity","clinical psychologist","http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22","0.8045","low_similarity","nurse assistant","http://data.europa.eu/esco/occupation/87d0795a-d41f-47ee-979f-0ab7d73836e7","0.7970","low_similarity","mental health support worker","http://data.europa.eu/esco/occupation/5a9acd29-666c-4ca1-b10e-e086584a526b","0.7961","low_similarity"
"Psychological researcher and analysist","ሳይኮሎጂካል ተመራማሪ እና ተንታኝ","P","Service","Research and experimental development work in psychology","minilm","5","0.8145","low_similarity","psychologist","http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9","0.8145","low_similarity","educational researcher","http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156","0.8079","low_similarity","behavioural scientist","http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad","0.8032","low_similarity","psychology lecturer","http://data.europa.eu/esco/occupation/7dea476a-dffe-4919-9ee2-fb222e283f41","0.7976","low_similarity","clinical psychologist","http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22","0.7963","low_similarity"
"Psychological Services and Capacity Building Consultant (contract)","የስነ-ልቦና አገልግሎቶች እና የአቅም ግንባታ አማካሪ","P","Service","Consulting service around social science","minilm","5","0.7729","low_similarity","recruitment consultant","http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815","0.7729","low_similarity","social service consultant","http://data.europa.eu/esco/occupation/1a46d0f0-93d7-44d1-bff9-58e3f21bd4c4","0.7679","low_similarity","business consultant","http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97","0.7655","low_similarity","consultant social worker","http://data.europa.eu/esco/occupation/186ef31e-f26f-4320-a307-c5f95d6cb284","0.7611","low_similarity","marketing consultant","http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc","0.7526","low_similarity"
"Psychologist or Clinical Psychologist","ሳይኮሎጂስት ወይም ክሊኒካል ሳይኮሎጂስት","P","Service","Research and experimental development work in psychology","minilm","5","0.9639","exact","clinical psychologist","http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22","0.9639","exact","psychologist","http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9","0.9420","high_confidence","health psychologist","http://data.europa.eu/esco/occupation/976c7f50-7f9e-4347-bbb9-f0dc842046a3","0.8952","high_confidence","assistant clinical psychologist","http://data.europa.eu/esco/occupation/d1b8c046-3867-423a-84fd-41f7be3a6d29","0.8694","high_confidence","educational psychologist","http://data.europa.eu/esco/occupation/4f5bc9a5-e989-409b-bfb5-973b472163cd","0.8600","high_confidence"
"Psychology Trainer","ሳይኮሎጂ አሰልጣኝ","P","Service","Research and experimental development work in psychology","minilm","5","0.8519","high_confidence","corporate trainer","http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e","0.8519","high_confidence","psychologist","http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9","0.8464","low_similarity","psychology lecturer","http://data.europa.eu/esco/occupation/7dea476a-dffe-4919-9ee2-fb222e283f41","0.8420","low_similarity","police trainer","http://data.europa.eu/esco/occupation/6b304370-0112-4881-a1bd-27d8df645d00","0.8390","low_similarity","educational psychologist","http://data.europa.eu/esco/occupation/4f5bc9a5-e989-409b-bfb5-973b472163cd","0.8372","low_similarity"
"Psychometrics evaluation & skill identification expert","የሳይኮሜትሪክስ ግምገማ እና የክህሎት መለያ ባለሙያ","P","Service","Research and experimental development work in psychology","minilm","5","0.7607","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.7607","low_similarity","biometrician","http://data.europa.eu/esco/occupation/b0f3f595-4965-4f13-ba5c-f6049b62469f","0.7455","low_similarity","performance rental technician","http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be","0.7328","low_similarity","occupational analyst","http://data.europa.eu/esco/occupation/6d03eaef-1ce5-4a1e-bb41-0908e1af1b65","0.7314","low_similarity","digital forensics expert","http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424","0.7313","low_similarity"
"Psychometrics expert","ሳይኮሜትሪክስ ባለሙያ","P","Service","Research and experimental development work in psychology","minilm","5","0.7823","low_similarity","biometrician","http://data.europa.eu/esco/occupation/b0f3f595-4965-4f13-ba5c-f6049b62469f","0.7823","low_similarity","psychotherapist","http://data.europa.eu/esco/occupation/af69484e-b43f-4685-b22d-f3418df45c4d","0.7388","low_similarity","psychologist","http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9","0.7309","low_similarity","statistician","http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955","0.7287","low_similarity","user experience analyst","http://data.europa.eu/esco/occupation/faed411a-f920-4100-86a8-b877928b429c","0.7285","low_similarity"
"Psychosocial Counsellor","ሳይኮሶሻል አማካሪ","P","Service","Social work services","minilm","5","0.9006","high_confidence","social counsellor","http://data.europa.eu/esco/occupation/5727b567-993d-4d41-a13d-81a6af1a9a8e","0.9006","high_confidence","sexual violence counsellor","http://data.europa.eu/esco/occupation/b9dd2ee7-5fea-46f8-b226-ddae9501f728","0.8778","high_confidence","educational counsellor","http://data.europa.eu/esco/occupation/2412bbb1-29ca-4e17-a2b8-70694f0cb14f","0.8729","high_confidence","marriage counsellor","http://data.europa.eu/esco/occupation/9cda1c7c-ba07-4381-b831-1bb346ff865f","0.8709","high_confidence","drug and alcohol addiction counsellor","http://data.europa.eu/esco/occupation/5d758e75-a116-485a-b800-5db08ffd3ba1","0.8667","high_confidence"
"Psychosocial Support (PSS) Officer","ሳይኮሶሻል ድጋፍ (PSS) ኦፊሰር","P","Service","Social work services","minilm","5","0.8085","low_similarity","victim support officer","http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818","0.8085","low_similarity","mental health support worker","http://data.europa.eu/esco/occupation/5a9acd29-666c-4ca1-b10e-e086584a526b","0.7920","low_similarity","social services policy officer","http://data.europa.eu/esco/occupation/d6ef013f-57e9-4100-bbe5-3e4930664dee","0.7916","low_similarity","academic support officer","http://data.europa.eu/esco/occupation/2ddde737-28f3-444d-b1f8-ef12cc2df3c7","0.7674","low_similarity","criminal justice social worker","http://data.europa.eu/esco/occupation/9aa2115d-83cb-4db1-af1d-b426c87c2393","0.7582","low_similarity"
"Psychotherapist Supervisor","ሳይኮቴራፒስት ሱፐርቫይዘር","P","Service","Social work services","minilm","5","0.9040","high_confidence","psychotherapist","http://data.europa.eu/esco/occupation/af69484e-b43f-4685-b22d-f3418df45c4d","0.9040","high_confidence","social work supervisor","http://data.europa.eu/esco/occupation/b73f4ce5-13fa-43a0-bbf6-01d7315849b8","0.8206","low_similarity","electrical supervisor","http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73","0.8099","low_similarity","script supervisor","http://data.europa.eu/esco/occupation/99b096eb-a628-4e69-a79b-0563f2ed1b93","0.8093","low_similarity","psychologist","http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9","0.8083","low_similarity"
"Public Affairs and Communications Manager","የህዝብ ጉዳይ እና ኮሙዩኒኬሽን ስራ አስኪያጅ","P","Service","Advertising","minilm","5","0.9186","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.9186","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9183","high_confidence","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8879","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8844","high_confidence","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.8745","high_confidence"
"Public Affairs Director (Transport Sector)","የህዝብ ጉዳይ ዳይሬክተር (የትራንስፖርት ዘርፍ)","P","Service","Consulting service in the transport sector","minilm","5","0.8348","low_similarity","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8348","low_similarity","road transport division manager","http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983","0.8274","low_similarity","airport director","http://data.europa.eu/esco/occupation/fc35b7ca-ecec-40d7-91b5-5065f662d955","0.7990","low_similarity","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.7984","low_similarity","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.7963","low_similarity"
"Public Area Attendant","የህዝብ አካባቢ ረዳት","P","Service","Cleaning of buildings, industry, aircraft, housing, etc","minilm","5","0.8796","high_confidence","leisure attendant","http://data.europa.eu/esco/occupation/88c55070-444a-45db-abe3-7b95c40bc9ec","0.8796","high_confidence","room attendant","http://data.europa.eu/esco/occupation/731ecac4-06e8-4ec2-a559-101fecbd9183","0.8736","high_confidence","train attendant","http://data.europa.eu/esco/occupation/fa1aef45-49a4-4446-94b4-e2b563d9d025","0.8505","high_confidence","costume attendant","http://data.europa.eu/esco/occupation/30739eb6-218b-4e8a-9209-e2f36b9446cd","0.8492","low_similarity","beauty salon attendant","http://data.europa.eu/esco/occupation/d3fd0898-51f7-42a3-8f44-09408fc796f6","0.8455","low_similarity"
"Public Communication and Marketing Manager","የህዝብ ግንኙነት እና ግብይት ስራ አስኪያጅ","P","Service","Advertising","minilm","5","0.8858","high_confidence","marketing manager","http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c","0.8858","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.8527","high_confidence","digital marketing manager","http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef","0.8466","low_similarity","communication manager","http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b","0.8414","low_similarity","advertising manager","http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432","0.8343","low_similarity"
"Public Health Coordinator","የህዝብ ጤና አስተባባሪ","P","Health","Health","minilm","5","0.9053","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.9053","high_confidence","child care coordinator","http://data.europa.eu/esco/occupation/526ba8e1-fc71-4657-8d27-52f03e8ca81d","0.8366","low_similarity","emergency response coordinator","http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58","0.8253","low_similarity","community health worker","http://data.europa.eu/esco/occupation/c7ad889f-10fc-4346-b740-bd479ad82b47","0.8243","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.8185","low_similarity"
"Public Health Data Search and Reviewer","የህዝብ ጤና መረጃ ፍለጋ እና ገምጋሚ","P","Health","Health","minilm","5","0.7196","low_similarity","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.7196","low_similarity","environmental health inspector","http://data.europa.eu/esco/occupation/a092cb70-f3e3-4224-98a3-b97c0114de77","0.7138","low_similarity","healthcare inspector","http://data.europa.eu/esco/occupation/43d49e27-302b-439d-bce6-86555527edb5","0.7077","low_similarity","epidemiologist","http://data.europa.eu/esco/occupation/b73c752b-9858-4f53-82de-f3a340cbcae9","0.7044","low_similarity","health and safety inspector","http://data.europa.eu/esco/occupation/2b31f745-f04f-4d2c-9692-4715e1448f80","0.6931","low_similarity"
"PUBLIC HEALTH ENGINEERING (PHE) ASSISTANT","የህዝብ ጤና ኢንጂነሪንግ (PHE) ረዳት","P","Health","Health","minilm","5","0.8328","low_similarity","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8328","low_similarity","healthcare assistant","http://data.europa.eu/esco/occupation/d38c2107-98f2-47b7-8bb4-f69750d51082","0.8217","low_similarity","medical administrative assistant","http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498","0.8139","low_similarity","medical laboratory assistant","http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c","0.8052","low_similarity","engineering assistant","http://data.europa.eu/esco/occupation/9581c837-fee7-4068-9618-1116fd93d723","0.7899","low_similarity"
"Public Health Facilitator","የህዝብ ጤና አመቻች","P","Health","Health","minilm","5","0.8524","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8524","high_confidence","community health worker","http://data.europa.eu/esco/occupation/c7ad889f-10fc-4346-b740-bd479ad82b47","0.7818","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.7539","low_similarity","healthcare consultant","http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3","0.7508","low_similarity","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.7500","low_similarity"
"Public Health Intern","የህዝብ ጤና ተለማማጅ","P","Health","Health","minilm","5","0.8679","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8679","high_confidence","community health worker","http://data.europa.eu/esco/occupation/c7ad889f-10fc-4346-b740-bd479ad82b47","0.7779","low_similarity","healthcare inspector","http://data.europa.eu/esco/occupation/43d49e27-302b-439d-bce6-86555527edb5","0.7776","low_similarity","healthcare assistant","http://data.europa.eu/esco/occupation/d38c2107-98f2-47b7-8bb4-f69750d51082","0.7756","low_similarity","healthcare institution manager","http://data.europa.eu/esco/occupation/4a29eab1-5f02-4723-a863-e2d5a0614dfa","0.7734","low_similarity"
"Public Health Lecturer","የህዝብ ጤና መምህር","P","Education","other","minilm","5","0.8776","high_confidence","healthcare specialist lecturer","http://data.europa.eu/esco/occupation/b3ebf55f-5e50-4262-946a-f08d7fbe29b2","0.8776","high_confidence","medicine lecturer","http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a","0.8771","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8324","low_similarity","biology lecturer","http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d","0.8311","low_similarity","nursing lecturer","http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af","0.8239","low_similarity"
"Public health officer","የህዝብ ጤና መኮንን","P","Health","Health","minilm","5","0.9731","exact","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.9731","exact","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.9044","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.8418","low_similarity","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8275","low_similarity","civil service administrative officer","http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed","0.8261","low_similarity"
"Public Health Specialist","የህዝብ ጤና ባለሙያ","P","Health","Health","minilm","5","0.9145","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.9145","high_confidence","community health worker","http://data.europa.eu/esco/occupation/c7ad889f-10fc-4346-b740-bd479ad82b47","0.8363","low_similarity","back office specialist","http://data.europa.eu/esco/occupation/b2e81332-0972-4e0f-9a4d-1d15c9c9513b","0.8280","low_similarity","healthcare consultant","http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3","0.8167","low_similarity","healthcare specialist lecturer","http://data.europa.eu/esco/occupation/b3ebf55f-5e50-4262-946a-f08d7fbe29b2","0.8116","low_similarity"
"Public health/Nutrition Officer","የህዝብ ጤና / የተመጣጠነ ምግብ መኮንን","P","Health","Health","minilm","5","0.8903","high_confidence","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8903","high_confidence","food regulatory advisor","http://data.europa.eu/esco/occupation/c872187a-079b-413b-8503-7b5dd92abb88","0.8322","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.8223","low_similarity","dietitian","http://data.europa.eu/esco/occupation/8a53f8d3-d995-4c7b-a70d-d79f76bdcb3f","0.8187","low_similarity","prepared meals nutritionist","http://data.europa.eu/esco/occupation/c37d0026-989b-4705-9bcb-30cccd8308fa","0.8102","low_similarity"
"Public relation and Fund raising mobilize officer","የህዝብ ግንኙነት እና ፈንድ ማሰባሰብ ኦፊሰር","P","Service","Advertising","minilm","5","0.8003","low_similarity","public funding advisor","http://data.europa.eu/esco/occupation/4ed22a87-8478-4731-be11-5942eacb2e16","0.8003","low_similarity","fundraising manager","http://data.europa.eu/esco/occupation/c2e6609d-0abe-4a38-b295-e06edbd52e82","0.7780","low_similarity","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.7724","low_similarity","social services policy officer","http://data.europa.eu/esco/occupation/d6ef013f-57e9-4100-bbe5-3e4930664dee","0.7625","low_similarity","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.7507","low_similarity"
"Public Relations and Communication Officers","የህዝብ ግንኙነት እና ኮሙዩኒኬሽን ሃላፊዎች","P","Service","Advertising","minilm","5","0.9557","exact","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9557","exact","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.9202","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8451","low_similarity","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.8302","low_similarity","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8238","low_similarity"
"Public Relations Coordinator","የህዝብ ግንኙነት አስተባባሪ","P","Service","Advertising","minilm","5","0.9435","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9435","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.9407","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8832","high_confidence","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8515","high_confidence","publications coordinator","http://data.europa.eu/esco/occupation/aab8009a-5759-4f52-8865-6cc657b1f099","0.8366","low_similarity"
"Public Relations Executive","የህዝብ ግንኙነት ስራ አስፈፃሚ","P","Service","Advertising","minilm","5","0.9338","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9338","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.9228","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8676","high_confidence","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8638","high_confidence","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.8295","low_similarity"
"Public Relations Expert","የህዝብ ግንኙነት ባለሙያ","P","Service","Advertising","minilm","5","0.9271","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.9271","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9196","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8738","high_confidence","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8019","low_similarity","political affairs officer","http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a","0.7882","low_similarity"
"Public Relations Manager","የህዝብ ግንኙነት ስራ አስኪያጅ","P","Service","Advertising","minilm","5","1.0000","exact","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","1.0000","exact","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.9528","exact","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8882","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8592","high_confidence","public employment service manager","http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763","0.8456","low_similarity"
"Public Relations Office Head","የህዝብ ግንኙነት ጽሕፈት ቤት ኃላፊ","P","Service","Advertising","minilm","5","0.8909","high_confidence","public relations officer","http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134","0.8909","high_confidence","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.8897","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8406","low_similarity","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","0.8322","low_similarity","public employment service manager","http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763","0.7911","low_similarity"
